PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,INSTRS,CYCLES,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
500,IMRemoteURLConne,0.0,00:00.06,3,1,75,3057K,0B,1760K,500,1,sleeping,0[16],0.00000,0.00000,502,983,77,436,199,1618,1338,859,0,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
498,mediaremoteagent,0.0,00:00.03,2,1,32,2289K,0B,832K,498,1,sleeping,*1[1],0.00000,0.00000,502,627,57,325,171,1555,450,432,2,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
496,AppleSpell,0.0,00:20.82,2,1,107,31M,0B,14M,496,1,sleeping,*0[1],0.00000,0.00000,502,12404,152,14579,3239,113507,22537,28692,2311,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
492,VTDecoderXPCServ,0.0,00:00.05,2,1,67,5858K,0B,5104K,492,1,sleeping,0[2],0.00000,0.00000,502,947,84,952,553,3452,1690,588,3,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
491,homed,0.0,00:03.03,3,1,148,11M,0B,4192K,491,1,sleeping,0[148],0.00000,0.00000,502,7282,167,2553,826,35685,4491,20405,902,2,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
488,QuickLookUIServi,0.0,00:00.36,4,1,143,7106K,0B,2624K,488,1,sleeping,0[1375],0.00000,0.00000,502,3077,126,9284,2351,10817,27199,10672,2,1,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
487,com.apple.appkit,0.0,00:00.75,4,1,205,18M,0B,9840K,487,1,sleeping,0[1411],0.00000,0.00000,502,7089,201,19201,6446,23737,37975,13596,452,1,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
486,familycircled,0.0,00:01.67,3,1,75,7745K,128K,3552K,486,1,sleeping,0[91],0.00000,0.00000,502,4546,116,6821,1240,42527,14378,17129,49,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
485,CoreLocationAgen,0.0,00:00.48,3,1,170,7618K,0B,3072K,485,1,sleeping,*0[1],0.00000,0.00000,502,3368,117,10533,4330,8974,18326,7873,3,1,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
484,chrome_crashpad_,0.0,00:00.04,5,1,41,3081K,0B,8112K,481,1,sleeping,*0[1],0.00000,0.00000,502,2177,101,829,402,1834,604,472,109,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
483,IMRemoteURLConne,0.0,00:00.06,3,1,79,3217K,0B,1936K,483,1,sleeping,0[6],0.00000,0.00000,502,980,77,509,223,1953,1470,1068,2,0,0.0,0,0,dakota,N/A,N/A,N/A,N/A,N/A,N/A
